channel_id,channel_name,subscribers,views,total_videos,description,playlist_id,country,topicDetails,publishedAt
UCO7ReLEZEE_9kmD395PCXmA,BANGALORE SAMACHAR,10800,1871233,2531,"#BANGALORE SAMACHAR TV 

CONNECT US: 9019403617

",UUO7ReLEZEE_9kmD395PCXmA,IN,"{'topicIds': ['/m/01k8wb', '/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Society']}",2020-03-22 17:06:39.575714+05:30
UCDIhrv9JJkeDlhFEIbPmyRw,Seedhi Baat TV,1340000,362544045,7826,"
SEEDHI BAAT""
An Introduction
""Seedhi Baat"" is not just a name of an institution, but it is a thought process, a movement, it's in fact, a voice….a voice of righteousness, which aims at striking upon apathetic conscious and which is desirous of awaking people from their deep sleep and intends to bring revolution through the powerful contemporary Social Media. In other words, it intends to blow the spirit of fearlessness, especially, the spirit of Islamic ideology into the lifeless body of journalism in our beloved country. A five year long journey of “Seedhi Baat” has now been encamped in the City of Bangalore and adopted a new and a unique form.  

Mail us: aazaan32@gmail.com
seedhibaatworld@gmail.com
Call: 9620364858/8762783868
Ansar Azeez Nadwi
Managing Director & Editor “SEEDHI BAATTV” Bangalore,Bhatkal,Shimoga,Shikarpure,,Karnataka
 

Under the watch: Al_Qalam_social media service private limited

Office Address 
#126, 1st Floor Raj Tower, MM Road,
 Frazer Town, Bangalore: 560045 ",UUDIhrv9JJkeDlhFEIbPmyRw,IN,"{'topicIds': ['/m/06bvp', '/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Religion', 'https://en.wikipedia.org/wiki/Society']}",2017-06-03 09:32:35+05:30
UC-Yz1K9QH3VQuEL5qzLptJQ,Power TV News,1340000,787725158,80409,"POWER TV, as the name says it is filled with exuberant energy, concern and passion for societal health. no nudity, no negativity and of course, no nonsense!.",UU-Yz1K9QH3VQuEL5qzLptJQ,IN,"{'topicIds': ['/m/05qt0', '/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']}",2018-12-06 19:05:49+05:30
UCpzsmNuUEmod64DGgBDPO-Q,TV5 Kannada,2610000,1539354194,138913,"TV5 Kannada - News You can trust.

TV5 Kannada News now captures Karnataka every inch and every second standing by the land and its pride, people and their voices.
",UUpzsmNuUEmod64DGgBDPO-Q,IN,"{'topicIds': ['/m/05qt0', '/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']}",2017-03-17 17:11:33+05:30
UChIsGgUEa9H4SZipy_szjOA,PrajaShakthi TV Kannada,67100,20475878,6888,"Prajashakthi TV Kannada is a trusted local news channel from Tumakuru (Tumkur), Karnataka. We bring you the latest updates, breaking news, political developments, social issues, cultural programs, and Kannada local news from every corner of Tumakuru.

Subscribe to stay updated with Tumkur district news, Kannada headlines, and real-time coverage from your own city.

Visit our website for full details: prajashakthitv.com

📍 Based in: Tumakuru
🗞️ Focus: Kannada news, Tumkur events, local stories
CONTACT | 6363491616

ಪ್ರಜಾಶಕ್ತಿ ಟಿವಿ ಕನ್ನಡ ತುಮಕೂರು ಮೂಲದ ವಿಶ್ವಾಸಾರ್ಹ ಸ್ಥಳೀಯ ನ್ಯೂಸ್ ಚಾನೆಲ್ ಆಗಿದೆ. ನಾವು ನಿಮಗೆ ತುಮಕೂರಿನ ನುಡಿಚರ್ಚೆಗಳಿಂದ ಹಿಡಿದು, ತಕ್ಷಣದ ಸುದ್ದಿಗಳು, ರಾಜಕೀಯ ಬೆಳವಣಿಗೆಗಳು, ಸಾಮಾಜಿಕ ಸಮಸ್ಯೆಗಳು, ಸಾಂಸ್ಕೃತಿಕ ಕಾರ್ಯಕ್ರಮಗಳು ಮತ್ತು ಕನ್ನಡದ ಸ್ಥಳೀಯ ಸುದ್ದಿಗಳನ್ನು ಎಲ್ಲೆಂದರಲ್ಲಿ ತಲುಪಿಸುತ್ತೇವೆ.

ತುಮಕೂರು ಜಿಲ್ಲೆಯ ಸುದ್ದಿ, ಕನ್ನಡ ಶೀರ್ಷಿಕೆಗಳು ಮತ್ತು ನಿಮ್ಮದೇ ನಗರದ ನೇರ ನ್ಯೂಸ್ ಕವರೆಜ್ ಪಡೆಯಲು ಚಾನೆಲ್ ಗೆ ಸಬ್ಸ್ಕ್ರೈಬ್ ಆಗಿ.

",UUhIsGgUEa9H4SZipy_szjOA,IN,"{'topicIds': ['/m/01k8wb', '/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Society']}",2024-09-06 18:04:02.813121+05:30
UCcSW0s_ugP5LSQw_glUK_sA,TV BHARATH SHIVAMOGGA,18700,1968705,9520,"TV Bharath: is a Hyper Local Kannada Channel from the House of  BHARATH MEDIA CENTER in 2017 has been well accepted and saw a decent growth among the local Kannada Channels in Shimoga Districts and surrounding districts. Our tagline is just apt for the content that we today offer to the audience. 

To keep the audience more focussed on the content and keep away the clutter, we have made structural changes by creating the user interest programs throughout the day.

With presence of quality editorial team across length and breadth of the district, the channel today offers more live and latest news update. With the strong backup of the print and visual media journalism experience, the editorial team has added more edge to the channel to provide content which is extremely unique and many of the programmes today are most sought after by the audience.",UUcSW0s_ugP5LSQw_glUK_sA,IN,"{'topicIds': ['/m/05qt0', '/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']}",2019-09-23 13:47:36+05:30
UCBeya00m9cp1Iavc2rbrosQ,JIH Karnataka,10500,734744,590,Since its very inception the Jamaat addressed itself to all Indians irrespective of caste and creed. It appealed to all communities to eschew the path of violence and mutual hatred and to settle down to the task of building a Righteous Society on stable and abiding foundations.,UUBeya00m9cp1Iavc2rbrosQ,IN,"{'topicIds': ['/m/06bvp', '/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Religion', 'https://en.wikipedia.org/wiki/Society']}",2011-01-31 17:43:04+05:30
UCG2MSP_dMe0MUTZu28vIvbA,Prajavani | ಪ್ರಜಾವಾಣಿ,429000,90628052,8212,"ಪ್ರಜಾವಾಣಿ ಕನ್ನಡದ ಅತ್ಯಂತ ವಿಶ್ವಾಸಾರ್ಹ ದಿನ ಪತ್ರಿಕೆ. ಜನರ ಧ್ವನಿಯಾಗಿರುವ ಕನ್ನಡದ ಅತ್ಯಂತ ಜನಪ್ರಿಯ ಪತ್ರಿಕೆಯ ವಿಡಿಯೊ ಚಾನೆಲ್ ಇಲ್ಲಿದೆ. ಇಲ್ಲಿ ನೀವು ವಿಶೇಷ ವರದಿಗಳು, ಆರೋಗ್ಯದ ಬಗ್ಗೆ ತಜ್ಞರ ಸಲಹೆಗಳು , ಅಡುಗೆ ಕ್ರಮಗಳ ವಿಡಿಯೊಗಳನ್ನು ನೋಡಬಹುದು. ಅದರೊಂದಿಗೆ ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ವೈರಲ್‌ ಆಗಿರುವ ವಿಡಿಯೊಗಳು, ಕೆಲವೊಂದು ಪ್ರಜಾವಾಣಿ ವಿಶೇಷ ಮಾಲಿಕೆಗಳನ್ನು ನೋಡಬಹುದು. ಪತ್ರಿಕೆಯಲ್ಲಿ ಬರುವ ಕೆಲವೊಂದು ಸುದ್ದಿಗಳನ್ನು ದೃಶ್ಯಮಾಧ್ಯಮದ ಮೂಲಕ ತೋರಿಸುವ ವಿನೂತನ ಪ್ರಯೋಗ ಇಲ್ಲಿದೆ.

Prajavani is the trusted Kannada News Paper and here is official Youtube channel. All Kannada News, Karnataka News-related videos, and other feature videos, Daily news coverage, stories from Karnataka, India, Politics news, entertainment news, metro news are available here.

#karnataka #election2024 #videonews #kannadanews #prajavani 

ತಾಜಾ ಸುದ್ದಿಗಳಿಗಾಗಿ: prajavani.net
ಫೇಸ್‌ಬುಕ್‌ನಲ್ಲಿ ಲೈಕ್ ಮಾಡಿ: facebook.com/prajavani.net
ಇನ್ಸ್ಟಾಗ್ರಾಮ್  ಫಾಲೋ ಮಾಡಿ: instagram.com/prajavani
ಟ್ವಿಟರ್‌ನಲ್ಲಿ ಫಾಲೋ ಮಾಡಿ: twitter.com/prajavani
ತಾಜಾ ಸುದ್ದಿಗಳಿಗಾಗಿ ಟೆಲಿಗ್ರಾಂ ಚಾನೆಲ್‌ನಲ್ಲಿ ನೋಡಿ: t.me/Prajavani1947
",UUG2MSP_dMe0MUTZu28vIvbA,IN,"{'topicIds': ['/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society']}",2011-03-09 14:07:40+05:30
UCtSblsSjpJ7tljqMiCZtcPQ,Bhima TV kannada,13400,1856391,1831,"Subscribe to #BhimaTVKannada for NEW VIDEOS EVERY DAY and make sure to enable Push Notifications so you'll never miss a new video. 
All you need to do is PRESS THE BELL ICON 🔔 next to the Subscribe button! 

BhimaTVKannada is Karnataka's leading Kannada regional News Channel. BhimaTVKannada YouTube channel offers latest news videos on Politics, Business, Cricket, Sandalwood Cinema Industry, Lifestyle, Auto, Technology, Travel, Entertainment and a lot more. 

Stay tuned for latest updates and in-depth analysis of news from Karnataka, India and around the world!
",UUtSblsSjpJ7tljqMiCZtcPQ,IN,"{'topicIds': ['/m/05qt0', '/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']}",2018-05-28 13:17:49+05:30
UCUtOww66dqg_5I1Tif7cX0A,MULBAGAL NEWS,134000,46784523,12883,"©all rights reserved to MULBAGAL NEWS MEDIA (OPC) PRIVATE LIMITED...THIS IS OFFICIAL CHANNEL OF MULBAGAL NEWS KANNADA WEEKLY NEWSPAPER .
TO publish or add ur news Contact 7019599962..
#MULBAGALNEWS
#MULBAGILUSUDDI
#KOLARNEWS
#MULBAGAL 
#MULBAGALTALUK
.
MULBAGAL NEWS is now starting a news paper weekly 
Thanks all our subscribers for your support ..
our face book page like
https://www.facebook.com/Mulbagal-News-youtube-channel-135919197008081/",UUUtOww66dqg_5I1Tif7cX0A,IN,"{'topicIds': ['/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society']}",2014-06-29 18:16:59+05:30
UCJmtzuc0zN-ESzVIIzKzMsw,Bengaluru Post,2540,651215,554,"🎥🎙️ Tune in to our hyper-local video channel and podcast for Bengaluru. Let's Begin, Our City Your Stories

Collaborations welcome! Let's connect, inspire, and share the heart and soul of #NorthBangalore

#bengaluru #bengalurupost   🌇🎧 #CommunityConnect #LocalStories #podcasters 



",UUJmtzuc0zN-ESzVIIzKzMsw,IN,"{'topicIds': ['/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society']}",2014-11-22 16:58:03+05:30
UCZmVIDJjmz07-jGeGcx-46g,Shivamogga Live,55300,9547551,589,,UUZmVIDJjmz07-jGeGcx-46g,IN,"{'topicIds': ['/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society']}",2018-07-31 18:16:16+05:30
UC9IQhNgS43lmUdU-KdGyb0A,News18 Urdu,3470000,1363197874,199408,"News18 Urdu is an exclusive Urdu news channel on YouTube which streams news related to common topics such as war, government, politics, education, health, the environment, economy, business, and entertainment, as well as athletic events. It gives the complete coverage of the nation with special emphasis on Telangana & Jammu & Kashmir. 

The channel also has exclusive interviews & caters to a large section of Urdu speaking population in India and several countries by providing debates on culturally and socially relevant subjects, social dramas, news, religious and other infotainment programs.

Subscribe to our channel for the latest news updates: http://bit.ly/2QH4xqW
Follow Us: https://twitter.com/news18urdu?lang=en
Like Us: https://www.facebook.com/News18Urdu/
Our Website: http://urdu.news18.com/",UU9IQhNgS43lmUdU-KdGyb0A,IN,"{'topicIds': ['/m/098wr', '/m/05qt0'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']}",2010-06-16 13:38:52+05:30
UCUfAK0YHXeseyNv60whxsXw,MM TV,216000,68947299,7624,"MMTV is one of the most trusted genuine channel in Karnataka. The rise of MMTV on January 2021 with most skilled technicians to bring effective change in digital media. We consist of a youth team dedicated more passionate towards the change.
MMTV's innovative and dedicated programming has brought into focus a number of social issues, Politics, sports, cinema, etc...
We are creative and incisive, the channel target the Karnataka with news that is true, credible, and fast.
MMTV has patriotism at its core, the pursuit of truth as It's guiding principle and imbibes the fearlessness to dig out, investigate and broadcast truth to fix accountability for a billion.
As the digital wing, MMTV is a platform built for the next generation of news. Seeped in hard-hitting opinion and wound with interactive news content and formats, MMTV follows the principle of breaking the silence and breaking the News.
",UUUfAK0YHXeseyNv60whxsXw,IN,"{'topicIds': ['/m/02jjt', '/m/098wr', '/m/0f2f9'], 'topicCategories': ['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Television_program']}",2015-03-26 00:39:41+05:30
UChl-MciRVsq6RPyhaIMceOg,Vistara News ,775000,506918114,87042,"Vistara News Kannada is one of the leading 24x7 News Channels in Karnataka. Vistara News gives you the latest Breaking News, politics, current affairs, sports, business and cinema news from Karnataka, India and around the world. We bring you news online and also on air. Providing ‘Accurate’ and ‘Pro- People’ news is the primary objective of our news channel. ‘Upholding the truth’ is our promise to the society at large and to our viewers in particular. This is the official Youtube channel for the Vistara News Kannada in Karnataka.
COMMENT POLICY: We love your comments and opinions but please be respectful of others and keep it friendly. We reserve the right to delete profane, defamatory, harassing, abusive and spam comments and to block repeat offenders.
",UUhl-MciRVsq6RPyhaIMceOg,IN,"{'topicIds': ['/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society']}",2022-03-31 11:56:39.913020+05:30
UCUSY2EZK7_2_1-wsZVbdzsQ,Zee Kannada News,766000,358820492,127305,"Zee Media Corporation Limited (formerly Zee News Ltd.), part of multibillion-dollar Essel Group, is India's one of the largest News networks with 14 news channels. Zee News and Zee Hindustan (National News Channels Hindi) are part of ZMCL.

Zee Kannada News is the latest offering from Zee Media Corporation umbrella. Zee Kannada News brings you comprehensive and unbiased news coverage on social, political issues along with entertainment programs from Karnataka, India and worldwide. 

For all-inclusive news coverage please follow Zee Kannada News content across all platforms.

#kannadanewschannel #zeenews #zeekannadanews #latestnews #newsupdate #livenews 

Download App - https://bit.ly/3nWhsbm
☛ Visit our website: https://zeenews.india.com/kannada

",UUUSY2EZK7_2_1-wsZVbdzsQ,IN,"{'topicIds': ['/m/098wr', '/m/05qt0'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']}",2021-10-21 18:30:12.952008+05:30
UCx-rEL6ofwL2wgtBg7MKSog,Namma Bengaluru,83000,16157828,2768,"Mitta Advertising’ is one of the Bangalore largest and innovative local Channel networks consisting 9 prime MSO (multi system operator ) branded channels under one management and having highly resourceful studios, unique programs, skilled technicians and shrewd management since 2004.

%Business entities have come to realize that marketing with well-managed returns is critical now a day. New establishments, Hospitals, Agencies, Developers, Education, environment consciousness and health concerns have also had a major impact on the importance for the need of a marketing media company.",UUx-rEL6ofwL2wgtBg7MKSog,IN,"{'topicIds': ['/m/02jjt', '/m/098wr', '/m/0kt51', '/m/0f2f9', '/m/019_rr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Television_program', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']}",2017-07-15 12:46:35+05:30
UCK7ghwb5N2vo19XYdBPG4Iw,Amoggh Tv Tumkur,42100,7075680,8827,"
Amoggh tv  is the most preferred 24-hour Kannada news channel covering the latest news in Karnataka Politics, National Politics, Kannada Movies, Indian Cinema and Entertainment, Business, International news and Sports. Stay tuned for all the breaking news in Kannada.

Watch Amoggh Tv Kannada for Live Updates, Breaking News, Political News, Crime, Entertainment News and Movie, Cinema stories, news and Sports News, etc

 Subscribe our Channel for latest updates 

Contact for news : 9880611106 | 8073436798
",UUK7ghwb5N2vo19XYdBPG4Iw,IN,"{'topicIds': ['/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society']}",2013-09-08 15:22:49+05:30
UCJQSp-UfINKK2qJFYwOO_Jg,OONCHI AWAAZ INDIA,24900,2502827,904,"Indian News Channel 

OONCHI AWAAZ INDIA, founded in 2012 as a newspaper and later transformed into a digital news channel in 2020, is a dedicated platform that strives to bring forth the most pressing issues and current events in India.

Our journey has been one of transformation and adaptation. We started as a newspaper, OONCHI AWAAZ, in 2012, where we earned recognition by delving into current issues and hot topics. As India embraced digitalization, we recognized the need to evolve and be at the forefront of this change. In 2020, we made the transition to become OONCHI AWAAZ INDIA, a digital news channel.

Throughout our existence, we have taken on significant challenges. Addressing ground-level issues such as the cow slaughter bill, hijab controversy, DJ halli kg Halli riots, triple talaq, and dress codes in schools and colleges. 

""Stay tuned for daily updates""

Contact us;

✉️ Email: oonchiawaaz@gmail.com

OONCHI AWAAZ INDIA
",UUJQSp-UfINKK2qJFYwOO_Jg,IN,"{'topicIds': ['/m/06bvp', '/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Religion', 'https://en.wikipedia.org/wiki/Society']}",2019-10-11 16:05:26.000518+05:30
UCU_Dzyqehuz3pVbZrOqOT3A,Vijayavani Digital,2180000,81392802,12591,"Welcome to Vijayavani Digital, your go-to destination for authentic, unbiased, and in-depth coverage of news and politics. Our dedicated team of journalists and analysts is committed to delivering the latest breaking news, political updates, and insightful commentary from around the world. Whether it's elections, political debates, or the dynamic world of entertainment, films, and social issues, we strive to provide you with the most accurate and comprehensive news coverage possible.

At Vijayavani, we firmly believe in the power of journalism to inform, educate, and empower our viewers. Our commitment is to deliver the news with integrity, ensuring that you stay informed and engaged with the issues that matter most. We break local, regional, national, and international news, so make sure to subscribe and turn on notifications to stay up-to-date on the latest news and analysis.

Your feedback is invaluable to us.Thank You.
",UUU_Dzyqehuz3pVbZrOqOT3A,IN,"{'topicIds': ['/m/098wr', '/m/02jjt'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Entertainment']}",2017-05-16 16:56:46+05:30
UCAvyeBXb8GTjxFoKOLgblMQ,INCHARA TV,38200,8802340,18593,"Inchara TV, a Colorful Entertainment Channel for all age groups. We are proud to introduce as Karnataka's No.1 Digitial Channel. Inchara Channel is formed by its founding members and is currently operational in the Karnataka. Our Team is backed with members from a variety of backgrounds, community, social status and age groups,  making it one of the most versatile channels currently functional.",UUAvyeBXb8GTjxFoKOLgblMQ,IN,"{'topicIds': ['/m/05qt0', '/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']}",2017-05-12 20:48:08+05:30
UCKiTOcFIxgqY03T_zBeiVeA,KARNATAKA VAHINI ,4190,129491,698,,UUKiTOcFIxgqY03T_zBeiVeA,NA,"{'topicIds': ['/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society']}",2018-11-04 18:07:15+05:30
